niche_id,niche_name,layer,mode,description,anchor_companies,skills_must_have,skills_nice_to_have,daily_work,entry_cost_money_min_gbp,entry_cost_money_comfortable_gbp,entry_cost_time,entry_barrier,revenue_source,revenue_floor_gbp,revenue_ceiling_gbp,revenue_floor_source,revenue_ceiling_source,time_window,risk_factors,upward_path,crypto_relevant
L1-EMP-01,机器人AI开发者关系/布道师 (DevRel),L1,employee,作为基础模型公司的开发者关系工程师，把开源机器人学习栈（LeRobot、GR00T、Isaac）讲清楚：写教程、跑demo、运营社区、收集开发者反馈喂给产品团队。为公司创造采用率与生态价值。,Hugging Face (LeRobot); NVIDIA (Isaac/GR00T),开源社区运营; 机器人学习基础(VLA/policy); Python; 技术写作/演讲; GitHub/Hub工作流,短视频/直播; 会议演讲; 多语种,周一清理社区issue与Discord答疑; 周二/周三写教程或录制demo并发布; 周四对外直播/线上答疑; 周五汇总开发者反馈给产品+模型团队，更新文档。,0,900,3-6个月建立公开作品集(教程/PR)后可入职,需公开可见的内容/贡献作品集; 英文沟通; 一般要求曾贡献过开源,工资+股权,87400,196900,Glassdoor Developer Advocate avg ~$111k (converted from USD),levels.fyi DevRel high band; HF SWE median $183k proxy (converted from USD),now,LLM自动生成文档/教程削弱需求; 机器人开发者市场仍小,12-24月→DevRel负责人 / 产品市场经理 / 独立技术内容创业(见L1-SOLO-03),false
L1-EMP-02,前置部署/解决方案工程师 (基础模型机器人公司),L1,employee,在客户现场把基础模型机器人系统装起来、调通、跑起来：硬件/网络/软件集成、按客户需求写适配代码、debug。明确接受'相关技术经验'而非必须博士。,Physical Intelligence; Covariant; Field AI,现场部署与调试; Python; 策略rollout与数据运维; 客户集成沟通,ROS2; 网络/Linux运维; 行业领域知识,周一对接客户排期; 周二-周四驻场安装/标定/采数/调策略; 周五回传失败案例与数据，提交适配PR并写部署报告。,0,1500,0-3个月(有软件/集成经验可直接入职),需可证明的工程项目经历; 常需出差; 地理临近客户,工资+股权,134600,326800,levels.fyi Palantir FDSE floor $171k (converted from USD),levels.fyi Palantir FDSE top $415k (converted from USD),now,基础模型若实现真正即插即用，部署人力需求下降,12-24月→部署主管 / 解决方案架构师 / 转微创业做部署服务(L5-MICRO-01),false
L1-MICRO-01,VLA微调/遥操作转策略 工具平台微创业,L1,micro_startup,1-5人团队，在开源VLA(LeRobot/OpenPI/GR00T)之上做'一键微调+遥操作转策略'的工具或SaaS，卖给想训练自己机器人的中小团队。,phospho; EmbodiFlow (IO-AI),VLA训练流水线; 中间件/Docker打包; VR遥操作集成; 产品/UX,硬件供应; 增长营销; 云GPU成本优化,周一看用户反馈排优先级; 周二-周四开发训练/遥操作功能、修复流水线; 周五发版+写changelog+做用户demo/onboarding。,2000,15000,3-6个月做出可用MVP,需VLA训练工程能力+种子用户; 云GPU成本,SaaS订阅/服务费,23600,157500,roboticscenter.ai 托管VLA服务定价低端 (converted from USD),roboticscenter.ai 多项目托管$35k/项目×多个 (converted from USD),now,HF/NVIDIA官方工具内置同等功能即被碾压,12-24月→YC/种子轮做成数据+训练平台公司,false
L1-MICRO-02,VLA微调即服务工作室,L1,micro_startup,1-5人，按合同为客户采集遥操作数据并微调出可用VLA策略(OpenVLA/pi0/SmolVLA)，交付评测报告。服务而非产品。,SVRC (Silicon Valley Robotics Center),遥操作数据采集(50Hz RLDS/LeRobot); 预算内VLA训练; 评测设计,多机位标定; 客户领域知识,周一接需求定任务; 周二-周三采数; 周四训练+评测; 周五交付报告与权重，回收下一批任务。,3000,20000,2-4个月(攒齐采集设备+训练流程),需采集硬件+GPU+评测方法学,项目合同费,23600,157500,roboticscenter.ai 单批pilot定价 (converted from USD),roboticscenter.ai $35k/项目×多项目 (converted from USD),now,数据采集成本下降+客户自建能力上升压缩利润,12-24月→专做某垂直(如物流)的数据+策略公司,false
L1-SOLO-01,开源VLA微调自由顾问,L1,solo,个人在Upwork/Toptal接单，为客户用LoRA/PEFT微调开源VLA(OpenVLA/pi0)、整理LeRobot数据集、单卡训练并评测。,Upwork/Toptal (锚: OpenVLA + LeRobot),PEFT/LoRA微调; LeRobot数据格式; 单GPU(A100/H100)训练; 模型评测,云GPU租用; 客户沟通; 英文写作,周一投标/对接客户; 周二-周四整理数据、跑微调与评测; 周五交付权重+评测报告并复盘报价。,400,4000,1-3个月(建Upwork档案+1-2个公开案例),需可展示的微调案例; 云GPU预付; 平台抽成,自由职业合同(时薪),63000,315000,Upwork ML $80/hr×~1000h (converted from USD),Toptal微调专家$250/hr×~1600h (converted from USD),now,微调工具自动化后门槛降低; AI自由职业供给激增压价,12-24月→VLA微调工作室(L1-MICRO-02)或专家顾问品牌,false
L1-SOLO-02,独立具身AI研究者 / LeRobot贡献者,L1,solo,个人在Hugging Face Hub发布LeRobot模型/数据集，做开放研究，通过赏金、赞助、grant变现，建立学术/技术声誉。,Hugging Face Hub (LeRobot/RLDS社区),LeRobotDataset/RLDS转换; SO-100/Koch遥操作采集; 模型卡发布; 研究写作,arXiv发paper; 推特/X影响力; 申请grant,周一-周三做实验/训模型/采数据; 周四写model card与博客发布; 周五社区互动、申请赏金/grant、维护赞助页。,500,4000,3-9个月建立可见产出,需自购入门机械臂+GPU; 自律与声誉积累慢,赞助/赏金/grant,7900,39400,GitHub Sponsors低档~$800/mo (converted from USD),GitHub Sponsors顶档$4k/mo + grant (converted from USD),now,开放研究变现难; 大厂开源挤压个人贡献可见度,12-24月→被实验室招募(L1-EMP)或拿种子做工具(L1-MICRO-01),false
L1-SOLO-03,机器人/具身AI 教育者与内容创作者,L1,solo,跨层位面向开发者做教学内容：从VLA模型讲解到SO-ARM/LeRobot搭建到ROS2课程，通过YouTube广告、Udemy课程、赞助变现。(合并了原L1/L4/L5三个教育者条目),Hugging Face LeRobot教程; Class Central SO-ARM课程; The Construct (ROS2),把机器人/VLA讲清楚; 视频制作; 课程设计; 受众增长,实操搭建演示; SEO; 社群运营,周一选题+脚本; 周二-周三录制(讲模型/搭机器人/讲ROS2); 周四剪辑发布; 周五回评论、更新课程、谈赞助。,800,4000,6-12个月攒受众到可变现,需相机/麦克风+演示硬件; 受众积累慢; 高弃坑率,广告/课程销售/赞助,1600,118100,bloggingx Udemy多数讲师<$1k/yr (converted from USD),Udemy顶1%>$50k叠加YouTube广告+赞助 (converted from USD),now,AI生成教学内容泛滥; 平台算法/分成变化,12-24月→付费社区/训练营 / 与硬件厂联名带货,false
L1-SOLO-04,具身红队 / VLA评测基准搭建者,L1,solo,个人专攻具身模型的对抗测试与鲁棒性评测：构造对抗指令、搭评测harness、为实验室/公司按合同或赏金做安全评估。,OpenVLA; GR00T; pi0 (研究+服务),具身红队方法; 对抗指令生成; 安全/鲁棒性基准设计,发表评测论文; 安全合规知识,周一-周三设计并运行对抗评测/搭harness; 周四整理发现写报告; 周五投递赏金/对接评测合同、更新公开基准。,500,4000,3-6个月(需先有公开评测作品),需扎实的评测/安全方法学; 市场尚早,合同/赏金,23600,149600,AI bug bounty低端多为$500-15k/yr (converted from USD),AI红队合同$110-190k (converted from USD),6-12mo,具身安全市场尚未成熟; 需求依赖监管推动,12-24月→具身AI安全公司或被前沿实验室招募,false
L2-EMP-01,合成数据/仿真数据流水线工程师,L2,employee,为仿真/合成数据公司建数据流水线：传感器仿真、域随机化、自动生成带标注的训练数据，喂给客户的感知/操作模型。,Applied Intuition; Parallel Domain; SKY ENGINE AI,Python; 数据流水线; 域随机化; 传感器/标注流程; 计算几何,Unreal/Unity; CV/ML; 云批处理,周一对齐数据需求; 周二-周四开发/调流水线、生成与质检数据集; 周五交付数据并优化生成参数。,0,1500,3-6个月(有数据/Python工程背景),需软件工程能力(非必须博士); 竞争激烈,工资+股权,98400,236200,Greenhouse Applied Intuition JD $125k floor (converted from USD),levels.fyi data-engineer high band (converted from USD),now,生成式世界模型可能取代手工合成数据流水线,12-24月→仿真平台资深工程师 / 自由合成数据承包(L2-SOLO-01),false
L2-EMP-02,仿真软件工程师 (游戏引擎),L2,employee,用Unreal/Unity/Omniverse写机器人仿真环境与引擎功能，支持sim-to-real训练与验证。,Applied Intuition; Parallel Domain; Unity Technologies,C++/Python; 游戏引擎/仿真编程; 渲染或物理建模,RL; 域随机化; sim-to-real,周一排期; 周二-周四开发引擎/环境功能、修bug; 周五代码评审+集成测试。,0,1500,3-6个月(有引擎/游戏编程背景),需较强C++/引擎能力; 游戏转行可行,工资+股权,75400,248000,Glassdoor Applied Intuition Sim SWE est (converted from USD),levels.fyi Applied Intuition Sr SWE $315k (converted from USD),now,引擎厂自带工具+AI辅助编程降低人力需求,12-24月→仿真团队lead / 独立卖仿真资产(L2-SOLO-02),false
