search_query,source,date_searched,relevant_results_count,notes
VLA / vision-language-action robot foundation model companies & labs,WebSearch + company sites/news,2026-06-08,24,"Angle 1 of L1. Physical Intelligence, Skild, Covariant, Figure Helix, DeepMind RT-2, etc."
diffusion policy / action chunking / behavior cloning manipulation startups,WebSearch + arXiv/CoRL affiliations,2026-06-08,18,"Angle 2 of L1. Surfaced TRI, Dyna, Sunday Robotics (ACT lineage), Dexterity."
world models / video-prediction for robotics & embodied AI,WebSearch + TechCrunch/Robot Report,2026-06-08,20,"Angle 3 of L1. World Labs, Luma, Runway, Decart, Odyssey, General Intuition, Niantic Spatial."
"big-company robotics-AI divisions & major labs (GR00T, Gemini Robotics, Optimus, FAIR)",WebSearch + corporate newsrooms,2026-06-08,16,"Angle 4 of L1. NVIDIA, Google DeepMind, Tesla, Meta FAIR, Amazon, Microsoft, TRI, RAI Institute."
"China embodied-AI / robot foundation model companies (36Kr, Jiqizhixin, ITJuzi)",WebSearch + Chinese-language sources,2026-06-08,38,"Angle 5 of L1 — largest yield. AgiBot, Galbot, Galaxea, RobotEra, X Square, Unitree, UBTECH, Fourier, Spirit AI, LimX, Booster, DexForce, Ant Lingbo, Baidu, Alibaba, ByteDance, Tencent, BAAI, etc."
YC / seed-stage robot foundation model & embodied-AI startups (W2023-S2026),YC directory + WebSearch,2026-06-08,19,"Angle 6 of L1. Generalist AI, Field AI, Rhoda, Scout AI, RLWRLD, Cartwheel, Sereact, AMI Labs, Ultra, Azalea, Yondu."
robot simulation platforms & physics engines for robot learning,WebSearch + project sites/GitHub,2026-06-08,14,"Angle 1 of L2. NVIDIA Isaac Sim/Lab/Omniverse, MuJoCo, Gazebo/OSRF, Genesis, CoppeliaSim, Webots, PyBullet, Unity."
synthetic data generation & procedural scene generation for robotics,WebSearch + Crunchbase,2026-06-08,16,"Angle 2 of L2. Parallel Domain, Rendered.ai, SKY ENGINE, Anyverse, SBX Robotics, Duality AI, syntheticAIdata, DataMesh, Encord."
digital twin & sim-to-real transfer tools for robotics,WebSearch + company sites,2026-06-08,12,"Angle 3 of L2. Robotec.ai, Telekinesis, Dexmate, Hillbot, Cognata, Applied Intuition."
recent startups building world simulators / neural simulators for embodied AI,YC + WebSearch + arXiv,2026-06-08,13,"Angle 4 of L2. Genesis Embodied AI, Antioch, Parallax Worlds, Flexion, General Intuition, Maitrix, Sensei, Shotwell."
