company_name,also_known_as,hq_city,hq_country,founded_year,primary_layer,secondary_layers,vertical_subcategory,core_or_division,one_liner,total_funding_usd,last_round_size_usd,last_round_type,last_round_date,last_round_lead,team_size,source_url,verification,entity_type,status,notes,business_model,customers,revenue_status,technical_differentiation
Alibaba (Tongyi robotics task force),Tongyi Qianwen / Qwen robotics; Qwen embodied AI team,Hangzhou,CN,2025,L1_foundation_model,"L2_simulation,L6_vertical",,division,"Internal Tongyi/Qwen task force extending Alibaba's multimodal foundation models into vision-language-action and embodied ""robot brain"" systems (Qwen-VLA, RynnBrain) for generalist robot control across platforms.",undisclosed,undisclosed,undisclosed,unknown,undisclosed,unknown,https://technode.com/2025/10/09/alibabas-qwen-chief-reveals-new-robotics-and-embodied-ai-team/,verified,company,active,"Internal division of Alibaba (NYSE/HKEX listed; parent founded 1999), not a standalone funded startup, so funding/round/team-size are not separately disclosed. Robotics/embodied-AI task force announced Oct 2025 by Lin Junyang (head of Qwen/Tongyi), described as a small team extending Qwen multimodal foundation models from virtual to physical world. Outputs include Qwen-VLA (vision-language-action model, announced May 2026) and DAMO Academy's open-source RynnBrain embodied foundation model (based on Qwen3-VL; variants RynnBrain-Plan/Nav/CoP) plus RynnVLA. Genuinely applies learning to physical robot control/manipulation/navigation, so real_robotics_ai=true. Sources: SCMP, Bloomberg, TechNode, Pandaily, Alibaba Cloud blog, GitHub (alibaba-damo-academy/RynnBrain). HQ city/country reflects Alibaba's Hangzhou, China headquarters.","Not a standalone revenue line: the Qwen/Tongyi robotics group releases its VLA ""robot brain"" models (Qwen-VLA, RynnBrain, built on Qwen3-VL) as open-source/free downloads to drive adoption, then monetizes indirectly by funneling embodied-AI workloads onto paid Alibaba Cloud (Model Studio/Bailian) GPU, inference, and API infrastructure, and by improving automation in Alibaba's own logistics (Cainiao warehouses) and e-commerce operations. Parent Alibaba's revenue comes from cloud, e-commerce, and logistics, not robot sales.","Primarily internal/affiliate to date: Alibaba Cloud and logistics arm Cainiao (automated warehouse robot fleets) are the named deployment targets, plus open-source developers consuming the models via Hugging Face/GitHub. No external paying robotics OEM customers are publicly disclosed as of mid-2026; broader ""ecosystem of deployment partners"" is stated but unnamed.","N/A (internal R&D unit of profitable parent Alibaba; the robotics models themselves are pre-revenue/open-source, while parent group revenue is multi-billion and profitable)","Positions Qwen-VLA/RynnBrain as a single unified, open-weight generalist VLA controlling diverse hardware (single-arm, dual-arm, humanoid) without platform-specific retraining, leveraging Qwen3-VL multimodal backbone plus proprietary Taobao/Cainiao real-world data and Alibaba Cloud scale. Closest named competitors are Nvidia (GR00T/Isaac, also foundation-model-for-robots but tied to Nvidia hardware/closed stack) and Google DeepMind (Gemini Robotics / RT-2, more closed); Alibaba's differentiation is the open-source, China-domestic, cloud-distribution play rather than a clear architectural moat."
Allen Institute for AI (Ai2),"Ai2, AI2, MolmoAct, MolmoAct 2",Seattle,US,2014,L1_foundation_model,L3_data_infra,,division,"Open-source robot foundation model (MolmoAct) that reasons in 3D space to plan and execute real-world manipulation tasks, released fully open with weights, data, and code.",undisclosed,152000000,Grant,2025-09,NVIDIA and NSF,unknown,https://allenai.org/blog/molmoact2,verified,nonprofit,active,"Ai2 is a nonprofit AI research institute founded by Microsoft co-founder Paul Allen in 2014, HQ on Seattle's Lake Union. MolmoAct is its robot foundation model line; MolmoAct 2 released May 5, 2026 as a fully open robotic foundation model that reasons in 3D before acting, achieving ~87.1% success across manipulation tasks, ~37x faster than the original, with bimanual capability and no per-task fine-tuning. Ai2 also released a 720+ hour open bimanual manipulation dataset, training code, eval data, and an open action tokenizer. Piloted with Stanford School of Medicine (Cong Lab / CRISPR self-driving wetlab). As a nonprofit it does not raise VC rounds; the $152M is a 2025 NVIDIA + NSF grant for open science models (GeekWire). Total funding undisclosed (Paul Allen endowment plus grants). Assigned Layer 1 Robot Foundation Models; secondary L3 due to large open robotics dataset release.","N/A (research/open-source). As a 501(c)(3) nonprofit founded by Paul Allen, Ai2 is funded by the Paul G. Allen estate/endowment plus grants and partnerships - notably a $152M public-private OMAI grant (~$75M NSF, ~$77M Nvidia); it releases MolmoAct models, weights, and datasets fully open rather than selling them, with annual revenue/expenses around $110M.","Stanford School of Medicine researchers are piloting MolmoAct 2 to automate repetitive lab manipulation in CRISPR gene-editing workflows. As open-source models, broader adopters are the research/robotics developer community; no paying customers (nonprofit, free release).","N/A (nonprofit; ~$110M annual budget funded by endowment and grants, not product revenue).","MolmoAct is an ""Action Reasoning Model"" that explicitly reasons in 3D space to plan before acting, and is released fully open (weights, training code, and a 720-hour bimanual YAM dataset). Versus Physical Intelligence's pi0.5 (closed weights) it reports higher LIBERO/real-world success and ~37x faster inference; versus Nvidia GR00T N1.7 (humanoid-focused, partially open) it differentiates on full openness and 3D spatial-reasoning planning."
Amazon Robotics AI,Amazon Science Robotics; DeepFleet; Kiva Systems (predecessor),"North Reading, Massachusetts",US,2003,L1_foundation_model,"L3_data_infra,L6_vertical",,division,"Builds AI foundation models (DeepFleet) that coordinate and route Amazon's 1M+ warehouse mobile robots, predicting traffic patterns to cut travel time and boost fleet efficiency ~10%.",undisclosed,undisclosed,undisclosed,unknown,undisclosed,unknown,https://www.amazon.science/blog/amazon-builds-first-foundation-model-for-multirobot-coordination,verified,company,active,"Division of Amazon.com (NASDAQ: AMZN), not an independently funded startup; funding/round/team-size fields are not applicable/undisclosed. Originated from Kiva Systems (founded 2003), acquired by Amazon in March 2012 for ~$775M and rebranded Amazon Robotics. HQ in North Reading, MA with major facilities in Westborough, MA. DeepFleet unveiled July 2025 alongside Amazon's 1 millionth deployed robot; research paper ""DeepFleet: Multi-Agent Foundation Models for Mobile Robots"" published arXiv 2508.08574 (Aug 2025). Four model architectures: robot-centric (autoregressive decision transformer), robot-floor (cross-attention), image-floor (convolutional), graph-floor (temporal attention + GNN). Reported ~10% improvement in robot travel efficiency across 300+ facilities. Also does manipulation FM research (Amazon Science Robotics). Genuinely applies learning to physical warehouse robots, so real_robotics_ai=true. Layer 1 Robot Foundation Models is appropriate primary layer.","Internal cost-reduction division of Amazon, not a standalone revenue generator: DeepFleet foundation models coordinate Amazon's 1M+ warehouse mobile robots across 300+ fulfillment centers to cut robot travel time ~10%, lowering fulfillment operating costs and speeding delivery. Robotics spend is absorbed as fulfillment infrastructure capex/opex; the models are not licensed or sold externally.","Sole ""customer"" is Amazon's own fulfillment/logistics operations (300+ facilities worldwide). No external paying or piloting customers; predecessor Kiva Systems' third-party clients were phased out after the 2012 acquisition.","N/A (cost-center within Amazon; no standalone robotics revenue disclosed). Amazon parent is profitable, but DeepFleet generates savings rather than direct revenue.","Claims to be the first multi-agent foundation model for fleet-scale robot coordination (DeepFleet's RC/RF/IF/GF architectures, trained on real movement data from hundreds of thousands of robots), versus rule-based/optimization traffic systems from warehouse-automation peers like Symbotic and Zebra/Fetch Robotics. Key moat is proprietary fleet-scale operational data (1M+ robots) that named competitors cannot match."
AMI Labs,Advanced Machine Intelligence; AMI; LeWM / LeWorldModel; JEPA,Paris,FR,2026,L1_foundation_model,"L2_simulation,L6_vertical",,core,"Builds JEPA-based world models that learn structured representations of physical environments and predict their evolution, enabling reliable planning for robotics, industrial automation, and other physical systems.",1030000000,1030000000,Seed,2026-03,"Cathay Innovation, Greycroft, Hiro Capital, HV Capital, Bezos Expeditions (co-leads)",unknown,https://techcrunch.com/2026/03/09/yann-lecuns-ami-labs-raises-1-03-billion-to-build-world-models/,verified,company,active,"Founded by Yann LeCun (ex-Meta Chief AI Scientist) after leaving Meta. $1.03B seed at ~$3.5B pre-money valuation, among largest AI seed rounds. Co-leads: Cathay Innovation, Greycroft, Hiro Capital, HV Capital, Bezos Expeditions; angels include Berners-Lee, Mark Cuban, Eric Schmidt, Xavier Niel, Jim Breyer. Teams planned in Paris, New York, Montreal, Singapore. LeWM (LeWorldModel) paper (arXiv 2603.19312, Mar 2026, with Mila/NYU/Samsung SAIL) introduces SIGReg-regularized JEPA that matches/beats baselines on Push-T (96% success), Reacher, and 3D pick-and-place robot manipulation benchmarks at ~15M params on a single GPU. Targets robotics, industrial process control, automation, wearables, healthcare. Round labeled ""seed"" by most coverage; one source called it Series A. Team size undisclosed.","Frontier research lab building JEPA-based world models; currently no product/revenue, planning to monetize via industry partnerships and licensing of world-model AI to sectors like industrial process control, robotics, wearables and healthcare, while open-sourcing much research/code. CEO LeBrun explicitly says it is ""not your typical applied AI startup that can release a product in three months."" Funded by a $1.03B seed (largest in European history) at a ~$3.5B valuation from Nvidia, Samsung, Sea, Temasek, Toyota Ventures, and French backers (Mulliez, Dassault, Publicis).","First disclosed partner is Nabla, the digital-health startup run by AMI CEO Alexandre LeBrun, which plans to deploy AMI's early models. Other industrial investors/partners (Samsung, Toyota Ventures, Publicis) signal strategic interest; broader paying customers undisclosed.","pre-revenue (no revenue plans yet; raised $1.03B seed at ~$3.5B valuation, March 2026)","Bets on JEPA (Joint Embedding Predictive Architecture) operating in latent/embedding space rather than pixel-generation or token-prediction, plus efficient research like LeWorldModel/LeWM (~15M-param, single-GPU, ~48x faster planning). Closest named competitors are Fei-Fei Li's World Labs (also ~$1B raised, pixel/3D generative ""spatial intelligence"") and SpAItial ($13M seed); AMI differentiates on LeCun-led non-generative, energy-based world-model approach over generative rendering."
BAAI / Zhiyuan Research Institute (Beijing Academy of Artificial Intelligence),智源研究院; Beijing Academy of AI; BAAI; FlagOpen; RoboBrain,Beijing,CN,2018,L1_foundation_model,"L2_simulation,L3_data_infra",,division,"Non-profit AI lab building open-source RoboBrain embodied foundation models that give robots unified perception, 3D spatial reasoning, and manipulation planning for general-purpose and humanoid robotics.",undisclosed,undisclosed,government grant,unknown,Beijing Municipal Government,unknown,https://en.wikipedia.org/wiki/Beijing_Academy_of_Artificial_Intelligence,verified,nonprofit,active,"Non-profit AI research institute founded Nov 14, 2018, backed by Beijing Municipal Science and Technology Commission and Zhongguancun Science Park; funding members include Baidu, ByteDance, Megvii, Meituan, Xiaomi, Tsinghua, Peking University. Not a venture-funded startup, so funding is government/grant-based and undisclosed; ""round"" fields apply loosely. RoboBrain is a robotics program within BAAI (hence division). RoboBrain 2.0 launched June 2025 (annual conference); RoboBrain 2.5 (""Depth in Sight, Time in Mind"") released with arXiv 2601.14352, adding 3D spatial reasoning and dense temporal value estimation for fine-grained manipulation. Open-source on Hugging Face (BAAI/RoboBrain2.5-8B) and GitHub (FlagOpen/RoboBrain2.5). Qualifies as real robotics AI: applies learning to physical/humanoid robot manipulation and spatial reasoning.","Non-profit research institute funded primarily by the Beijing Municipal Government (Beijing Municipal Science & Technology Commission, Zhongguancun Science Park) and China's Ministry of Science and Technology, supplemented by contributions from founding member companies (Baidu, Alibaba, Tencent, ByteDance, Xiaomi, Megvii) and academic partners (Tsinghua, Peking University, CAS). It does not sell products; RoboBrain/FlagOpen models are released open-source, with value captured indirectly via spin-outs it incubates (e.g., XYZ Embodied AI) and an ecosystem of 20+ robotics partners.","Not a paying-customer model. Adopters/ecosystem partners of RoboBrain and RoboOS include 20+ Chinese robotics firms; BAAI incubated XYZ Embodied AI (founded Aug 2025, raised ~1B yuan). Government sponsors (Beijing municipality, MOST) are the de facto funders rather than customers.","N/A (nonprofit; annual operating budget reported in the multi-hundred-million-yuan range, unverified)","RoboBrain 2.0/2.5 positions as an open-source embodied vision-language ""brain"" emphasizing unified perception, 3D spatial reasoning, and task planning (7B and 32B variants), paired with the RoboOS cloud orchestration platform - distinct from NVIDIA Isaac GR00T (an open VLA action model for humanoids, Apache-2.0) and Physical Intelligence's pi0 (closed-weight flow-matching VLA action policy). BAAI differentiates on being a fully open, China-sovereign, hardware-agnostic reasoning/planning layer plus fleet orchestration rather than a single end-to-end action policy."
"Baidu, Inc.",Baidu; ERNIE robotics; ERNIE Bot (Wenxin),Beijing,CN,2000,L1_foundation_model,L6_vertical,,division,"Chinese tech giant applying its ERNIE multimodal foundation models toward embodied AI and robotics, partnering with robot makers (e.g. AgiBot) to power perception and robot action.",undisclosed,undisclosed,Public (NASDAQ: BIDU; HKEX: 9888),unknown,undisclosed,unknown,https://en.wikipedia.org/wiki/Baidu,verified,company,active,"Baidu is a publicly traded company (NASDAQ: BIDU, HKEX: 9888) founded Jan 18, 2000 by Robin Li and Eric Xu, HQ in Beijing Haidian District. Not VC-funded; ""total funding/round"" fields are N/A for a public giant. Core business is search, AI cloud, ERNIE foundation models, and Apollo Go robotaxi. The robotics/embodied-AI effort is a division leveraging the ERNIE multimodal stack (ERNIE 5.0 is natively omni-modal across text/image/audio/video). Baidu AI Cloud has partnered with humanoid maker AgiBot, integrating its large vision model platform and EdgeBoard edge computing for robotics. Qualifies as real_robotics_ai=true because the ERNIE stack is being applied to physical robot perception/action via partnerships, though Baidu is primarily a foundation-model/platform provider rather than a hardware robotics company. Layer 1 (Robot Foundation Models) is appropriate; vertical robot products (Tiantian Home Robot) also exist. Funding/team-size for the specific robotics unit not separately disclosed.","Baidu monetizes its ERNIE foundation models for robotics indirectly: it licenses/serves the multimodal ERNIE (Wenxin) models to robot makers and sells the underlying AI Cloud compute and Qianfan MaaS platform (subscription + usage-based) that powers their embodied-AI development, rather than selling robots itself. Core revenue still comes from online marketing/search plus the growing AI Cloud (RMB 6.2B in Q3 2025), within which a humanoid-robotics cloud vertical is an emerging line.","Robot makers integrating ERNIE/Wenxin: UBTECH (Wenxin LLM integrated into its Walker S humanoid for perception, intent understanding and task planning) and AgiBot (cited as an embodied-AI partner). Broader AI Cloud/Qianfan enterprise customers are undisclosed by name in the robotics context.","profitable (Baidu group; Q3 2025 AI Cloud revenue ~RMB 6.2B, +21% YoY; robotics/humanoid cloud vertical revenue reportedly doubled QoQ in Q4 but remains early-stage)","Unlike pure embodied-AI model labs, Baidu pairs a frontier omni-modal LLM (ERNIE 5.0, jointly modeling text/image/audio/video) with at-scale AI Cloud infrastructure, positioning it as the model-plus-compute backbone for Chinese robot OEMs rather than a competing robot/VLA builder. Closest named rivals supplying brains to the same robots are DeepSeek (partnered with UBTECH on multimodal embodied reasoning) and AgiBot's own in-house GO-2 embodied foundation model; Baidu's edge is its integrated cloud/MaaS distribution and breadth of multimodal capability versus those model-only or vertically-integrated competitors."
Beijing Humanoid Robot Innovation Center,X-Humanoid; Beijing Innovation Center of Humanoid Robotics; National-Local Co-built Embodied AI Robot Innovation Center (国家地方共建具身智能机器人创新中心); 北京人形,Beijing,CN,2023,L1_foundation_model,"L4_hardware,L6_vertical",,core,"Builds embodied-AI foundation models and humanoid robots; its Pelican-VL ""brain"" handles perception-to-execution reasoning and action across diverse robot bodies, plus Tiangong hardware platform.",~98000000,~98000000,First market-based / strategic round,2026-02,"Syndicate incl. Beijing AI Industry Investment Fund, Yizhuang State-owned Investment, Beijing High-end Fund, Huakong Fund; Baidu strategic (no single lead disclosed)",500-999,https://github.com/Open-X-Humanoid/pelican-vl,verified,nonprofit,active,"Founded 2023-11-02 in Beijing (Yizhuang/E-Town). Upgraded Oct 2024 to national-local co-built Embodied AI Robot Innovation Center. Registered capital grew from 300M to 460M RMB (May 2025). First market-based funding round >700M RMB (~$98M USD) announced Feb 2026; investors include Beijing AI Industry Investment Fund, Yizhuang State-owned Investment, Beijing High-end Fund, Huakong Fund, with strategic investment from Baidu and Dongtu Technology — no single lead named. R&D staff >70% of workforce. Pelican-VL 1.0 is an open-source embodied ""brain"" model family (7B-72B params) developed by its WFM System Group; also released XR-1 VLA model and Tiangong humanoid hardware. Total funding undisclosed beyond this round; ~$98M is the disclosed market round, registered capital separate. Sources: x-humanoid.com/about.html, beijing.gov.cn funding announcement, GitHub/arxiv for Pelican-VL.","As a Beijing government-backed nonprofit innovation center (founded Nov 2023), it is primarily funded by state-linked sources: a ~700M yuan (~$100M) first round led by the Beijing Robotics Industry Development Investment Fund, E-Town Capital, Beijing Gaojingjian fund and TH Capital, plus strategic investors Baidu/Alibaba and Kyland. It also generates revenue by selling/deploying Tien Kung humanoid robots and the Tian Yi platform into factories and warehouses and licensing toolchains, while open-sourcing models (Pelican-VL) and the Tien Kung 3.0 platform to build an ecosystem.","Named industrial deployments include Foton Cummins (Tien Kung 2.0 and Tian Yi 2.0 running autonomous bin pickup/transport/placement on an engine production line), plus pilots reported with Cummins and Bayer. Strategic/investor partners include Baidu, Alibaba and Kyland Technology. A ~9,700 sqm pilot manufacturing line targets 5,000 units/year capacity.",early-revenue (nonprofit; raised ~$100M / ~700M yuan first round Feb 2026; specific product revenue figures not publicly disclosed),"Differentiates via a fully open-sourced full-stack platform (Tien Kung 3.0 hardware designs, motion-control frameworks, training datasets, and the Pelican-VL/Pelican-Unify 1.0 embodied ""brain,"" which ranked No. 1 on WorldArena), contrasting with closed/hardware-led peers like Unitree and the Nvidia-GR00T-dependent Fourier GR-1. Its claimed edge is whole-body high-dynamic motion control fused with tactile interaction plus a unified perception-to-action model, vs Nvidia Isaac GR00T N1 which is a model others (including X-Humanoid) adapt rather than a vertically integrated robot."
Boston Dynamics,,"Waltham, Massachusetts",US,1992,L1_foundation_model,"L4_hardware,L6_vertical",,division,"Builds advanced mobile robots (Atlas humanoid, Spot quadruped, Stretch), now using a Large Behavior Model with TRI for learned full-body humanoid control of manipulation and locomotion.",undisclosed,880000000,Acquisition,2020-12,Hyundai Motor Group,"~1,440",https://www.tri.global/news/ai-powered-robot-boston-dynamics-and-toyota-research-institute-takes-key-step-towards-general,verified,company,active,"Founded 1992 (MIT spin-off, Marc Raibert). Owned by Hyundai Motor Group: acquired ~80% stake from SoftBank for ~$880M, announced Dec 2020, completed June 2021 (Hyundai valued the deal at ~$1.1B incl. Hyundai/affiliate stakes). As a Hyundai division it has no independent VC funding (prior owners: Google/Alphabet 2013, SoftBank 2017). Layer 1 fit: Aug 2025 demo of a single Large Behavior Model (LBM) directly controlling full-body Atlas, co-developed with Toyota Research Institute (partnership announced Oct 2024), treating hands and feet near-identically for whole-body manipulation+locomotion. Team size ~1,440 (third-party estimate, Dec 2025). HQ ISO country US. [GATE2 scope-flag] Transitioning from traditional control to AI-learned policies (LBM with TRI). Historical product predates AI; kept because LBM is a genuine new capability category, not just enhancement.","Sells and leases mobile robots plus software/support subscriptions: Spot quadrupeds for industrial inspection (energy, construction, utilities), Stretch for warehouse case-unloading, and the electric Atlas humanoid for factory assembly/material handling. Owned by Hyundai Motor Group; Atlas production is contracted out to anchor customers under multi-year industrial deployment agreements.","Spot: 1,000+ enterprise customers / 2,000+ units across 40+ countries. Stretch: DHL Supply Chain, Maersk, H&M, Gap, Otto Group/Hermes. Atlas: 2026 production fully allocated to Hyundai's Robotics Metaplant Application Center (RMAC) and Google DeepMind; third-party Atlas pilots not expected until ~2027.","scaling (unverified ~$130M-$300M estimated 2025 revenue per third-party estimates; Spot and Stretch are commercially shipping, Atlas is pre-commercial/early-customer). Owned by Hyundai; standalone profitability not publicly disclosed.","Versus Tesla Optimus and Figure AI, Atlas leads on dynamic whole-body mobility (electric high-torque actuation, ~56 DoF, agile locomotion) and uniquely uses a single Large Behavior Model (with Toyota Research Institute) that controls hands and feet jointly for full-body learned humanoid control, plus Google DeepMind foundation models. Figure (BMW) and Tesla (Fremont/Austin) are further along in at-scale commercial humanoid deployment, where Atlas trails."
ByteDance Seed Robotics,Seed-Robotics; ByteDance Seed (Robotics); GR-3,Beijing,CN,2023,L1_foundation_model,"L3_data_infra,L4_hardware",,division,"Robot foundation model team building GR-3/GR-RL large-scale VLA models for long-horizon dexterous bi-manual manipulation, deployed on the in-house ByteMini two-arm mobile robot.",undisclosed,undisclosed,undisclosed,unknown,undisclosed,unknown,https://seed.bytedance.com/en/blog/seed-research-gr-3-released-a-generalist-robot-model-for-generalization-long-horizon-tasks-and-bi-manual-deformable-object-manipulation,verified,company,active,"Internal robotics research effort within ByteDance's Seed AI team (Seed founded 2023, HQ Beijing, with labs also in Singapore and Palo Alto). Not an independent funded startup, so funding/round data is not applicable; ByteDance is a privately held company. GR-3 is a 4B mixture-of-transformers VLA with a diffusion-transformer action head (flow-matching), co-trained on web-scale vision-language data plus VR-collected human trajectories and robot imitation data. ByteMini is the in-house 22-DoF bi-manual mobile robot (sphere-wrist design, multiple wrist/head cameras) used as the embodiment. GR-3 technical report: arXiv:2507.15493 (July 2025). Confirmed via official ByteDance Seed blog and arXiv. founded_year reflects the Seed team's establishment, not a standalone robotics entity.","An internal R&D team within ByteDance's Seed AI lab (not an independent revenue entity); funded by ByteDance's core advertising/short-video profits (TikTok, Douyin) to build robot foundation models (GR-3, GR-RL/GR-Dexter) and prototype hardware (ByteMini). No standalone product sales; intended future model is embodied-AI/robotics commercialization (home and service robots) layered onto ByteDance's platform business.","Undisclosed - no external paying or piloting customers are public. GR-3 is deployed only internally on ByteDance's in-house ByteMini bi-manual mobile robot for lab-stage research demonstrations (table cleaning, clothes folding/hanging, shoelace lacing).","N/A (corporate research lab; not separately monetized). Parent ByteDance is profitable with ~$150B+ annual revenue (2024, unverified for the robotics unit specifically), but the Seed Robotics team itself is pre-revenue research.","vs Google DeepMind (Gemini Robotics/RT-2) and Physical Intelligence (pi-0): GR-3 differentiates via efficient fine-tuning from minimal VR-collected human trajectory data plus co-training on web-scale vision-language data, reducing dependence on costly robot trajectory collection, and via tight co-design with its own 22-DoF sphere-wrist ByteMini hardware. GR-RL adds an RL framework for long-horizon precise dexterity (e.g., first learned policy to autonomously lace shoes, 83.3% success)."
Covariant,Covariant.ai; formerly Embodied Intelligence,Emeryville,US,2017,L1_foundation_model,"L6_vertical,L3_data_infra",,core,"Builds AI robotic foundation models (RFM-1) enabling warehouse robots to perceive, reason, and manipulate diverse objects via the Covariant Brain for pick-and-place automation.",222000000,75000000,Series C,2023-04,Radical Ventures and Index Ventures,unknown,https://en.wikipedia.org/wiki/Covariant_(company),verified,company,acqui-hired,"Founded 2017 as Embodied Intelligence by Pieter Abbeel, Peter Chen, Rocky Duan, Tianhao Zhang. RFM-1 (8B params) robotics foundation model announced 2024-03, trained on text, images, video, robot actions and sensor readings. Total funding $222M; last priced round Series C $75M (April 2023, led by Radical Ventures and Index Ventures, valuation ~$625M). In Aug 2024 Amazon executed a reverse-acqui-hire: non-exclusive license to Covariant's models plus hiring of founders Abbeel/Chen/Duan and ~25% of staff (reported ~$380M+$20M). Company nominally continues but core leadership and tech moved to Amazon, so largely subsumed. Current team size post-deal unknown.","Pre-acquihire, Covariant licensed its ""Covariant Brain"" AI software (and later RFM-1 foundation model) to warehouse/logistics operators and sold integrated AI-powered robotic picking systems, typically delivered through robot-arm integrator partners (ABB, KNAPP) on commercial deployment contracts with ongoing support. In Aug 2024 it pivoted to a licensing/IP model when Amazon paid ~$400M ($380M up front + $20M to investors) for a non-exclusive license to its models and hired its three co-founders.","System integrators and operators including ABB, KNAPP, Bastian, Fortna, Radial, and Otto Group; end markets named include fulfillment/distribution, apparel, grocery, health and beauty, and pharmaceuticals. Amazon became the marquee licensee in 2024.","early-revenue (commercial deployments via integrators; a third-party source claims ""$100M+ ARR"" but this is unverified and inconsistent with its acqui-hire outcome). One verified transaction: ~$400M from Amazon for a non-exclusive model license in 2024.","Built a single ""universal"" robot foundation model (RFM-1), trained on its own multimodal warehouse manipulation data, claiming generalist pick-and-place across diverse unseen SKUs rather than per-task programming. Versus closest Layer 1 peers Physical Intelligence (pi-0) and Skild AI, Covariant's edge was real-world warehouse-scale operational data and live integrator deployments, though that advantage eroded after its founders/IP largely moved to Amazon."
